Teacher Track,Student Track,Score
05. Taal Hinch - 12 beats.wav,03. Hinch - Shyam.m4a,0.9027777777777778
03. Taal Dadro - 6 beats.wav,01. Dadro - Shyam.m4a,0.9166666666666666
01. Taal Kervo (1) - 8 beats.wav,04. Kervo 1 - Shyam.m4a,0.7708333333333334
02. Taal Kervo (2) - 8 beats.wav,05. Kervo 2 - Shyam.m4a,0.7638888888888888
04. Taal Khemto - 6 beats.wav,06. Khemto - Shyam.m4a,0.8518518518518519
06. Taal Dipchandi - 14 beats.wav,02. Dipchandi - Shyam.m4a,0.9375
