Teacher Track,Student Track,Score
05. Taal Hinch - 12 beats.wav,3. Hinch - Arjun.m4a,0.7916666666666666
03. Taal Dadro - 6 beats.wav,1. Dadro - Arjun.m4a,0.7291666666666667
01. Taal Kervo (1) - 8 beats.wav,4. Kervo (1) - Arjun.m4a,0.6458333333333333
02. Taal Kervo (2) - 8 beats.wav,5. Kervo (2) - Arjun.m4a,0.8333333333333334
04. Taal Khemto - 6 beats.wav,6. Khemto - Arjun.m4a,0.6851851851851851
06. Taal Dipchandi - 14 beats.wav,2. Dipchandi - Arjun.m4a,0.765625
